instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,runtime_walksat,result_walksat,better_solver,ratio_dpll,type
random3sat1.cnf,DPLL,50,200,0.0012,UNSAT,WalkSAT,50,200,4.3697,UNSAT,1,4.0,Random3SAT
random3sat10.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.5749,SAT,1,4.0,Random3SAT
random3sat2.cnf,DPLL,50,200,0.0,UNSAT,WalkSAT,50,200,5.0815,UNSAT,1,4.0,Random3SAT
random3sat3.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.1808,SAT,1,4.0,Random3SAT
random3sat4.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.087,SAT,1,4.0,Random3SAT
random3sat5.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.6009,SAT,1,4.0,Random3SAT
random3sat6.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.6122,SAT,1,4.0,Random3SAT
random3sat7.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,1.0603,SAT,1,4.0,Random3SAT
random3sat8.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.0304,SAT,1,4.0,Random3SAT
random3sat9.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,4.8814,UNSAT,1,4.0,Random3SAT
random3sat_bulk1.cnf,DPLL,80,400,0.001,UNSAT,WalkSAT,80,400,9.2735,UNSAT,1,5.0,Random3SAT
random3sat_bulk10.cnf,DPLL,50,200,0.0,UNSAT,WalkSAT,50,200,5.0596,UNSAT,1,4.0,Random3SAT
random3sat_bulk100.cnf,DPLL,80,400,0.0,UNSAT,WalkSAT,80,400,9.2644,UNSAT,1,5.0,Random3SAT
random3sat_bulk11.cnf,DPLL,70,200,0.0,SAT,WalkSAT,70,200,0.0397,SAT,1,2.857142857142857,Random3SAT
random3sat_bulk12.cnf,DPLL,90,400,0.001,UNSAT,WalkSAT,90,400,9.7861,UNSAT,1,4.444444444444445,Random3SAT
random3sat_bulk13.cnf,DPLL,70,300,0.0,SAT,WalkSAT,70,300,0.0504,SAT,1,4.285714285714286,Random3SAT
random3sat_bulk14.cnf,DPLL,70,400,0.0,UNSAT,WalkSAT,70,400,9.4671,UNSAT,1,5.714285714285714,Random3SAT
random3sat_bulk15.cnf,DPLL,80,200,0.0,SAT,WalkSAT,80,200,0.0166,SAT,1,2.5,Random3SAT
random3sat_bulk16.cnf,DPLL,90,250,0.0,SAT,WalkSAT,90,250,0.1365,SAT,1,2.7777777777777777,Random3SAT
random3sat_bulk17.cnf,DPLL,50,200,0.0,SAT,WalkSAT,50,200,0.1282,SAT,1,4.0,Random3SAT
random3sat_bulk18.cnf,DPLL,50,300,0.0,UNSAT,WalkSAT,50,300,6.4435,UNSAT,1,6.0,Random3SAT
