instance,solver_dpll,num_vars_dpll,num_clauses_dpll,runtime_seconds_dpll,result_dpll,solver_walksat,num_vars_walksat,num_clauses_walksat,result_walksat,runtime_seconds_walksat,ratio_dpll,ratio_walksat,var_diff,clause_diff,var_ratio,clause_ratio,vars_times_clauses_dpll,clause_density_dpll,vars_times_clauses_walksat,clause_density_walksat,is_sudoku,is_random3sat,best_solver_actual
random3sat1.cnf,DPLL,50.0,200.0,0.004,UNSAT,WalkSAT_Optimized,50.0,200.0,UNSAT,0.2011,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat10.cnf,DPLL,50.0,200.0,0.0035,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0057,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat2.cnf,DPLL,50.0,200.0,0.0083,UNSAT,WalkSAT_Optimized,50.0,200.0,UNSAT,0.1708,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat3.cnf,DPLL,50.0,200.0,0.0054,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0479,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat5.cnf,DPLL,50.0,200.0,0.003,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0362,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat4.cnf,DPLL,50.0,200.0,0.0061,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0027,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,1
random3sat7.cnf,DPLL,50.0,200.0,0.001,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0156,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat8.cnf,DPLL,50.0,200.0,0.003,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0053,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat9.cnf,DPLL,50.0,200.0,0.003,SAT,WalkSAT_Optimized,50.0,200.0,SAT,0.0665,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
random3sat_bulk1.cnf,DPLL,80.0,400.0,0.003,UNSAT,WalkSAT_Optimized,80.0,400.0,UNSAT,0.3199,4.999999937500001,4.999999937500001,0.0,0.0,0.9999999875000002,0.9999999975,32000.0,4.999999937500001,32000.0,4.999999937500001,0,1,0
random3sat_bulk11.cnf,DPLL,70.0,200.0,0.001,SAT,WalkSAT_Optimized,70.0,200.0,SAT,0.0032,2.8571428163265313,2.8571428163265313,0.0,0.0,0.9999999857142859,0.999999995,14000.0,2.8571428163265313,14000.0,2.8571428163265313,0,1,0
random3sat_bulk100.cnf,DPLL,80.0,400.0,0.0015,UNSAT,WalkSAT_Optimized,80.0,400.0,UNSAT,0.316,4.999999937500001,4.999999937500001,0.0,0.0,0.9999999875000002,0.9999999975,32000.0,4.999999937500001,32000.0,4.999999937500001,0,1,0
random3sat_bulk10.cnf,DPLL,50.0,200.0,0.0025,UNSAT,WalkSAT_Optimized,50.0,200.0,UNSAT,0.2918,3.999999920000002,3.999999920000002,0.0,0.0,0.9999999800000005,0.999999995,10000.0,3.999999920000002,10000.0,3.999999920000002,0,1,0
