instance,solver,num_vars,num_clauses,runtime_seconds,result
random3sat1.cnf,DPLL,50,200,0.004,UNSAT
random3sat10.cnf,DPLL,50,200,0.0035,SAT
random3sat2.cnf,DPLL,50,200,0.0083,UNSAT
random3sat3.cnf,DPLL,50,200,0.0054,SAT
random3sat5.cnf,DPLL,50,200,0.003,SAT
random3sat4.cnf,DPLL,50,200,0.0061,SAT
random3sat7.cnf,DPLL,50,200,0.001,SAT
random3sat8.cnf,DPLL,50,200,0.003,SAT
random3sat9.cnf,DPLL,50,200,0.003,SAT
random3sat_bulk1.cnf,DPLL,80,400,0.003,UNSAT
random3sat_bulk11.cnf,DPLL,70,200,0.001,SAT
random3sat_bulk100.cnf,DPLL,80,400,0.0015,UNSAT
random3sat_bulk10.cnf,DPLL,50,200,0.0025,UNSAT
random3sat_bulk13.cnf,DPLL,70,300,0.001,SAT
random3sat_bulk12.cnf,DPLL,90,400,0.0022,UNSAT
random3sat_bulk14.cnf,DPLL,70,400,0.002,UNSAT
random3sat_bulk15.cnf,DPLL,80,200,0.0055,SAT
random3sat_bulk16.cnf,DPLL,90,250,0.0045,SAT
random3sat_bulk17.cnf,DPLL,50,200,0.003,SAT
random3sat_bulk18.cnf,DPLL,50,300,0.0,UNSAT
random3sat_bulk2.cnf,DPLL,60,300,0.001,UNSAT
random3sat_bulk19.cnf,DPLL,100,400,0.003,SAT
random3sat_bulk20.cnf,DPLL,60,300,0.0015,UNSAT
random3sat_bulk21.cnf,DPLL,90,400,0.0025,UNSAT
random3sat_bulk23.cnf,DPLL,60,300,0.0,UNSAT
random3sat_bulk22.cnf,DPLL,100,400,0.0054,SAT
random3sat_bulk24.cnf,DPLL,70,350,0.0044,UNSAT
random3sat_bulk25.cnf,DPLL,80,350,0.0025,UNSAT
random3sat_bulk26.cnf,DPLL,50,300,0.0023,UNSAT
random3sat_bulk27.cnf,DPLL,100,350,0.0023,SAT
random3sat_bulk28.cnf,DPLL,90,200,0.0,SAT
random3sat_bulk3.cnf,DPLL,50,350,0.0015,UNSAT
random3sat_bulk29.cnf,DPLL,90,400,0.0015,UNSAT
random3sat_bulk30.cnf,DPLL,100,350,0.0,SAT
random3sat_bulk31.cnf,DPLL,70,200,0.0034,SAT
random3sat_bulk33.cnf,DPLL,100,200,0.001,SAT
random3sat_bulk32.cnf,DPLL,50,350,0.0059,UNSAT
random3sat_bulk34.cnf,DPLL,90,350,0.002,SAT
random3sat_bulk35.cnf,DPLL,90,300,0.0,SAT
random3sat_bulk37.cnf,DPLL,50,200,0.0,SAT

random3sat_bulk38.cnf,DPLL,90,400,0.0025,UNSAT
random3sat_bulk39.cnf,DPLL,60,400,0.0012,UNSAT
random3sat_bulk4.cnf,DPLL,80,400,0.0022,UNSAT
random3sat_bulk40.cnf,DPLL,50,300,0.0012,UNSAT
random3sat_bulk41.cnf,DPLL,90,200,0.0022,SAT
random3sat_bulk43.cnf,DPLL,100,300,0.002,SAT
random3sat_bulk44.cnf,DPLL,60,200,0.003,SAT
random3sat_bulk42.cnf,DPLL,60,400,0.0045,UNSAT
random3sat_bulk45.cnf,DPLL,70,300,0.0055,SAT
random3sat_bulk47.cnf,DPLL,70,350,0.002,UNSAT
random3sat_bulk46.cnf,DPLL,60,300,0.001,UNSAT
random3sat_bulk48.cnf,DPLL,100,300,0.001,SAT
random3sat_bulk50.cnf,DPLL,80,300,0.0,SAT
random3sat_bulk49.cnf,DPLL,100,300,0.0,SAT
random3sat_bulk5.cnf,DPLL,90,250,0.001,SAT
random3sat_bulk51.cnf,DPLL,60,400,0.0,UNSAT
random3sat_bulk53.cnf,DPLL,90,300,0.0015,SAT
random3sat_bulk54.cnf,DPLL,70,200,0.0015,SAT
random3sat_bulk52.cnf,DPLL,50,350,0.001,UNSAT
random3sat_bulk55.cnf,DPLL,50,400,0.001,UNSAT
random3sat_bulk57.cnf,DPLL,60,250,0.001,UNSAT
random3sat_bulk59.cnf,DPLL,80,300,0.0005,SAT
random3sat_bulk58.cnf,DPLL,50,350,0.0035,UNSAT
random3sat_bulk6.cnf,DPLL,60,200,0.0015,SAT
random3sat_bulk60.cnf,DPLL,100,300,0.0012,SAT
random3sat_bulk62.cnf,DPLL,100,300,0.0012,SAT
random3sat_bulk61.cnf,DPLL,70,400,0.0012,UNSAT
random3sat_bulk66.cnf,DPLL,100,200,0.001,SAT
random3sat_bulk63.cnf,DPLL,90,350,0.002,SAT
random3sat_bulk64.cnf,DPLL,70,200,0.001,SAT
random3sat_bulk65.cnf,DPLL,60,350,0.0,UNSAT
random3sat_bulk67.cnf,DPLL,50,250,0.001,UNSAT
random3sat_bulk68.cnf,DPLL,70,300,0.0,SAT
random3sat_bulk7.cnf,DPLL,60,200,0.001,SAT
random3sat_bulk69.cnf,DPLL,90,350,0.001,SAT
random3sat_bulk73.cnf,DPLL,90,200,0.0,SAT
random3sat_bulk70.cnf,DPLL,90,200,0.001,SAT
random3sat_bulk71.cnf,DPLL,70,350,0.001,UNSAT
random3sat_bulk72.cnf,DPLL,70,300,0.002,SAT
random3sat_bulk75.cnf,DPLL,50,350,0.001,UNSAT
random3sat_bulk74.cnf,DPLL,90,250,0.0,SAT
random3sat_bulk76.cnf,DPLL,80,300,0.001,SAT
