instance,solver,num_vars,num_clauses,result,runtime_seconds
random3sat10.cnf,WalkSAT_Optimized,50,200,SAT,0.0057
random3sat3.cnf,WalkSAT_Optimized,50,200,SAT,0.0479
random3sat4.cnf,WalkSAT_Optimized,50,200,SAT,0.0027
random3sat5.cnf,WalkSAT_Optimized,50,200,SAT,0.0362
random3sat2.cnf,WalkSAT_Optimized,50,200,UNSAT,0.1708
random3sat1.cnf,WalkSAT_Optimized,50,200,UNSAT,0.2011
random3sat8.cnf,WalkSAT_Optimized,50,200,SAT,0.0053
random3sat7.cnf,WalkSAT_Optimized,50,200,SAT,0.0156
random3sat6.cnf,WalkSAT_Optimized,50,200,SAT,0.0339
random3sat9.cnf,WalkSAT_Optimized,50,200,SAT,0.0665
random3sat_bulk11.cnf,WalkSAT_Optimized,70,200,SAT,0.0032
random3sat_bulk10.cnf,WalkSAT_Optimized,50,200,UNSAT,0.2918
random3sat_bulk1.cnf,WalkSAT_Optimized,80,400,UNSAT,0.3199
random3sat_bulk100.cnf,WalkSAT_Optimized,80,400,UNSAT,0.316
random3sat_bulk15.cnf,WalkSAT_Optimized,80,200,SAT,0.0014
random3sat_bulk12.cnf,WalkSAT_Optimized,90,400,UNSAT,0.2615
random3sat_bulk16.cnf,WalkSAT_Optimized,90,250,SAT,0.0022
random3sat_bulk17.cnf,WalkSAT_Optimized,50,200,SAT,0.0021
random3sat_bulk13.cnf,WalkSAT_Optimized,70,300,SAT,0.1256
random3sat_bulk19.cnf,WalkSAT_Optimized,100,400,UNSAT,0.3122
random3sat_bulk14.cnf,WalkSAT_Optimized,70,400,UNSAT,0.4053
random3sat_bulk18.cnf,WalkSAT_Optimized,50,300,UNSAT,0.4789
random3sat_bulk2.cnf,WalkSAT_Optimized,60,300,UNSAT,0.3204
random3sat_bulk22.cnf,WalkSAT_Optimized,100,400,SAT,0.0204
random3sat_bulk21.cnf,WalkSAT_Optimized,90,400,UNSAT,0.2987
random3sat_bulk20.cnf,WalkSAT_Optimized,60,300,UNSAT,0.344
random3sat_bulk25.cnf,WalkSAT_Optimized,80,350,UNSAT,0.2757
random3sat_bulk23.cnf,WalkSAT_Optimized,60,300,UNSAT,0.38
random3sat_bulk24.cnf,WalkSAT_Optimized,70,350,UNSAT,0.3736
random3sat_bulk28.cnf,WalkSAT_Optimized,90,200,SAT,0.0025
random3sat_bulk27.cnf,WalkSAT_Optimized,100,350,SAT,0.0103
random3sat_bulk30.cnf,WalkSAT_Optimized,100,350,SAT,0.0145
random3sat_bulk31.cnf,WalkSAT_Optimized,70,200,SAT,0.0033
random3sat_bulk26.cnf,WalkSAT_Optimized,50,300,UNSAT,0.3724
random3sat_bulk33.cnf,WalkSAT_Optimized,100,200,SAT,0.0012
random3sat_bulk29.cnf,WalkSAT_Optimized,90,400,UNSAT,0.1851
random3sat_bulk35.cnf,WalkSAT_Optimized,90,300,SAT,0.0047
random3sat_bulk34.cnf,WalkSAT_Optimized,90,350,UNSAT,0.1614
random3sat_bulk37.cnf,WalkSAT_Optimized,50,200,SAT,0.005
random3sat_bulk3.cnf,WalkSAT_Optimized,50,350,UNSAT,0.2969
random3sat_bulk32.cnf,WalkSAT_Optimized,50,350,UNSAT,0.2959
random3sat_bulk36.cnf,WalkSAT_Optimized,80,300,UNSAT,0.175
random3sat_bulk38.cnf,WalkSAT_Optimized,90,400,UNSAT,0.1827
random3sat_bulk41.cnf,WalkSAT_Optimized,90,200,SAT,0.0046
random3sat_bulk4.cnf,WalkSAT_Optimized,80,400,UNSAT,0.2147
random3sat_bulk43.cnf,WalkSAT_Optimized,100,300,SAT,0.004
random3sat_bulk44.cnf,WalkSAT_Optimized,60,200,SAT,0.0226
random3sat_bulk39.cnf,WalkSAT_Optimized,60,400,UNSAT,0.2934
random3sat_bulk40.cnf,WalkSAT_Optimized,50,300,UNSAT,0.2499
random3sat_bulk45.cnf,WalkSAT_Optimized,70,300,SAT,0.0449
random3sat_bulk48.cnf,WalkSAT_Optimized,100,300,SAT,0.0099
random3sat_bulk49.cnf,WalkSAT_Optimized,100,300,SAT,0.0054
random3sat_bulk5.cnf,WalkSAT_Optimized,90,250,SAT,0.0027
random3sat_bulk50.cnf,WalkSAT_Optimized,80,300,SAT,0.0223
random3sat_bulk42.cnf,WalkSAT_Optimized,60,400,UNSAT,0.2838
random3sat_bulk46.cnf,WalkSAT_Optimized,60,300,UNSAT,0.213
random3sat_bulk53.cnf,WalkSAT_Optimized,90,300,SAT,0.0105
random3sat_bulk54.cnf,WalkSAT_Optimized,70,200,SAT,0.0019
random3sat_bulk47.cnf,WalkSAT_Optimized,70,350,UNSAT,0.2056
random3sat_bulk51.cnf,WalkSAT_Optimized,60,400,UNSAT,0.2803
random3sat_bulk52.cnf,WalkSAT_Optimized,50,350,UNSAT,0.2857
random3sat_bulk57.cnf,WalkSAT_Optimized,60,250,UNSAT,0.1686
random3sat_bulk56.cnf,WalkSAT_Optimized,60,400,UNSAT,0.3047
random3sat_bulk59.cnf,WalkSAT_Optimized,80,300,SAT,0.005
random3sat_bulk60.cnf,WalkSAT_Optimized,100,300,SAT,0.0083
random3sat_bulk6.cnf,WalkSAT_Optimized,60,200,SAT,0.0175
random3sat_bulk62.cnf,WalkSAT_Optimized,100,300,SAT,0.0039
random3sat_bulk55.cnf,WalkSAT_Optimized,50,400,UNSAT,0.3805
random3sat_bulk64.cnf,WalkSAT_Optimized,70,200,SAT,0.0018
random3sat_bulk58.cnf,WalkSAT_Optimized,50,350,UNSAT,0.2995
random3sat_bulk63.cnf,WalkSAT_Optimized,90,350,UNSAT,0.1739
random3sat_bulk66.cnf,WalkSAT_Optimized,100,200,SAT,0.0012
