instance,solver,num_vars,num_clauses,result
random3sat10.cnf,WalkSAT_Optimized,50,200,SAT
random3sat3.cnf,WalkSAT_Optimized,50,200,SAT
random3sat4.cnf,WalkSAT_Optimized,50,200,SAT
random3sat6.cnf,WalkSAT_Optimized,50,200,SAT
random3sat5.cnf,WalkSAT_Optimized,50,200,SAT
random3sat8.cnf,WalkSAT_Optimized,50,200,SAT
random3sat1.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat2.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat7.cnf,WalkSAT_Optimized,50,200,SAT
random3sat9.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_bulk11.cnf,WalkSAT_Optimized,70,200,SAT
random3sat_bulk10.cnf,WalkSAT_Optimized,50,200,UNSAT
random3sat_bulk1.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_bulk100.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_bulk15.cnf,WalkSAT_Optimized,80,200,SAT
random3sat_bulk16.cnf,WalkSAT_Optimized,90,250,SAT
random3sat_bulk17.cnf,WalkSAT_Optimized,50,200,SAT
random3sat_bulk12.cnf,WalkSAT_Optimized,90,400,UNSAT
random3sat_bulk13.cnf,WalkSAT_Optimized,70,300,UNSAT
random3sat_bulk14.cnf,WalkSAT_Optimized,70,400,UNSAT
random3sat_bulk19.cnf,WalkSAT_Optimized,100,400,UNSAT
random3sat_bulk2.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_bulk18.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_bulk22.cnf,WalkSAT_Optimized,100,400,SAT
random3sat_bulk20.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_bulk21.cnf,WalkSAT_Optimized,90,400,UNSAT
random3sat_bulk23.cnf,WalkSAT_Optimized,60,300,UNSAT
random3sat_bulk25.cnf,WalkSAT_Optimized,80,350,UNSAT
random3sat_bulk28.cnf,WalkSAT_Optimized,90,200,SAT
random3sat_bulk24.cnf,WalkSAT_Optimized,70,350,UNSAT
random3sat_bulk27.cnf,WalkSAT_Optimized,100,350,SAT
random3sat_bulk30.cnf,WalkSAT_Optimized,100,350,SAT
random3sat_bulk31.cnf,WalkSAT_Optimized,70,200,SAT
random3sat_bulk26.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_bulk33.cnf,WalkSAT_Optimized,100,200,SAT
random3sat_bulk34.cnf,WalkSAT_Optimized,90,350,SAT
random3sat_bulk35.cnf,WalkSAT_Optimized,90,300,SAT
random3sat_bulk29.cnf,WalkSAT_Optimized,90,400,UNSAT
random3sat_bulk37.cnf,WalkSAT_Optimized,50,200,SAT
random3sat_bulk36.cnf,WalkSAT_Optimized,80,300,SAT
random3sat_bulk3.cnf,WalkSAT_Optimized,50,350,UNSAT
random3sat_bulk32.cnf,WalkSAT_Optimized,50,350,UNSAT
random3sat_bulk38.cnf,WalkSAT_Optimized,90,400,UNSAT
random3sat_bulk41.cnf,WalkSAT_Optimized,90,200,SAT
random3sat_bulk4.cnf,WalkSAT_Optimized,80,400,UNSAT
random3sat_bulk43.cnf,WalkSAT_Optimized,100,300,SAT
random3sat_bulk44.cnf,WalkSAT_Optimized,60,200,SAT
random3sat_bulk39.cnf,WalkSAT_Optimized,60,400,UNSAT
random3sat_bulk40.cnf,WalkSAT_Optimized,50,300,UNSAT
random3sat_bulk45.cnf,WalkSAT_Optimized,70,300,UNSAT
random3sat_bulk42.cnf,WalkSAT_Optimized,60,400,UNSAT
